iter,train_loss,optimization_loss,train_aux_loss,val_loss,val_aux_loss,router_entropy,max_load_fraction,load_cv,lr,tokens_seen,elapsed_s,tokens_per_second,peak_vram_gib,attn_mode,backbone,seed,train_data_seed,val_data_seed
0,nan,nan,nan,10.930072453816733,0.0,nan,nan,nan,0.0,0,20.3,nan,5.046875,mha,dense,456,100456,200456
500,6.073723554611206,6.073723554611206,0.0,6.1368857161204025,0.0,nan,nan,nan,0.0001497,16384000,240.0,68253.01751354057,7.841796875,mha,dense,456,100456,200456
1000,5.313862562179565,5.313862562179565,0.0,5.328329587777455,0.0,nan,nan,nan,0.00029969999999999997,32768000,459.1,71369.822131818,8.2109375,mha,dense,456,100456,200456
1500,4.809464335441589,4.809464335441589,0.0,4.8696918559074405,0.0,nan,nan,nan,0.0004496999999999999,49152000,678.3,72461.47728678504,8.2109375,mha,dense,456,100456,200456
2000,4.5228259563446045,4.5228259563446045,0.0,4.608380234241485,0.0,nan,nan,nan,0.0005996999999999999,65536000,897.0,73058.5678016427,8.2109375,mha,dense,456,100456,200456
2500,4.399859666824341,4.399859666824341,0.0,4.444848906993866,0.0,nan,nan,nan,0.0005981266088736952,81920000,1116.3,73387.29381781316,8.2109375,mha,dense,456,100456,200456
3000,4.288113355636597,4.288113355636597,0.0,4.345483505725861,0.0,nan,nan,nan,0.0005925175294683882,98304000,1335.0,73637.35985291604,8.2109375,mha,dense,456,100456,200456
3500,4.196126341819763,4.196126341819763,0.0,4.257570578654607,0.0,nan,nan,nan,0.0005832509032072879,114688000,1554.3,73786.7248757901,8.2109375,mha,dense,456,100456,200456
4000,4.102630972862244,4.102630972862244,0.0,4.2053868385156,0.0,nan,nan,nan,0.0005704558381153472,131072000,1773.1,73924.0547187529,8.2109375,mha,dense,456,100456,200456
4500,4.11844676733017,4.11844676733017,0.0,4.15276826898257,0.0,nan,nan,nan,0.0005543106024788456,147456000,1992.4,74011.07709028322,8.2109375,mha,dense,456,100456,200456
5000,4.127801895141602,4.127801895141602,0.0,4.108605569998423,0.0,nan,nan,nan,0.000535040141107975,163840000,2211.0,74100.54883893018,8.2109375,mha,dense,456,100456,200456
5500,4.020849883556366,4.020849883556366,0.0,4.083410939772924,0.0,nan,nan,nan,0.0005129129412749549,180224000,2430.3,74157.15752258508,8.2109375,mha,dense,456,100456,200456
6000,4.0818469524383545,4.0818469524383545,0.0,4.056108950376511,0.0,nan,nan,nan,0.00048823729199324884,196608000,2649.0,74218.67905085813,8.2109375,mha,dense,456,100456,200456
6500,3.9842270016670227,3.9842270016670227,0.0,4.015240146716436,0.0,nan,nan,nan,0.00046135698875578174,212992000,2868.2,74259.30081029277,8.2109375,mha,dense,456,100456,200456
7000,3.9501753449440002,3.9501753449440002,0.0,3.9948882869879405,0.0,nan,nan,nan,0.000432646543576239,229376000,3086.9,74305.09117528112,8.2109375,mha,dense,456,100456,200456
7500,3.9539286494255066,3.9539286494255066,0.0,3.9772695326805114,0.0,nan,nan,nan,0.00040250596706994045,245760000,3306.2,74333.63775804154,8.2109375,mha,dense,456,100456,200456
8000,3.90862238407135,3.90862238407135,0.0,3.959277987082799,0.0,nan,nan,nan,0.00037135519527336944,262144000,3524.9,74369.22155501072,8.2109375,mha,dense,456,100456,200456
8500,3.874682128429413,3.874682128429413,0.0,3.9373224504788715,0.0,nan,nan,nan,0.00033962823885115036,278528000,3744.1,74391.43079948438,8.2109375,mha,dense,456,100456,200456
9000,3.846311569213867,3.846311569213867,0.0,3.9136576664447786,0.0,nan,nan,nan,0.00030776713620712216,294912000,3963.3,74410.18171181106,8.2109375,mha,dense,456,100456,200456
9500,3.764663517475128,3.764663517475128,0.0,3.8941311399141947,0.0,nan,nan,nan,0.0002762157947482825,311296000,4182.5,74427.39715431519,8.2109375,mha,dense,456,100456,200456
10000,3.838666260242462,3.838666260242462,0.0,3.877120689153671,0.0,nan,nan,nan,0.00024541380610869324,327680000,4401.3,74451.15625495747,8.2109375,mha,dense,456,100456,200456
10500,3.754471242427826,3.754471242427826,0.0,3.8536288436253865,0.0,nan,nan,nan,0.00021579032150324256,344064000,4620.5,74465.3604323494,8.2109375,mha,dense,456,100456,200456
11000,3.779214918613434,3.779214918613434,0.0,3.85038822333018,0.0,nan,nan,nan,0.0001877580725433998,360448000,4839.2,74484.79291043626,8.2109375,mha,dense,456,100456,200456
11500,3.8263911604881287,3.8263911604881287,0.0,3.8303316020965577,0.0,nan,nan,nan,0.00016170762082042857,376832000,5058.7,74492.4453199504,8.2109375,mha,dense,456,100456,200456
12000,3.8662428855895996,3.8662428855895996,0.0,3.8100545620918274,0.0,nan,nan,nan,0.0001380019163742152,393216000,5277.4,74509.46008375757,8.2109375,mha,dense,456,100456,200456
12500,3.7624616026878357,3.7624616026878357,0.0,3.80313752134641,0.0,nan,nan,nan,0.00011697124086228238,409600000,5496.6,74518.5265678076,8.2109375,mha,dense,456,100456,200456
13000,3.6449316143989563,3.6449316143989563,0.0,3.795617130994797,0.0,nan,nan,nan,9.890860588370181e-05,425984000,5715.4,74532.97300319614,8.2109375,mha,dense,456,100456,200456
13500,3.5997827649116516,3.5997827649116516,0.0,3.7884316786130268,0.0,nan,nan,nan,8.406567057113034e-05,442368000,5934.6,74540.01126062956,8.2109375,mha,dense,456,100456,200456
14000,3.7506580352783203,3.7506580352783203,0.0,3.784452521006266,0.0,nan,nan,nan,7.264923532945212e-05,458752000,6153.4,74552.97305028577,8.2109375,mha,dense,456,100456,200456
14500,3.6809974908828735,3.6809974908828735,0.0,3.7766086848576865,0.0,nan,nan,nan,6.481836057229788e-05,475136000,6372.8,74557.21669448569,8.2109375,mha,dense,456,100456,200456
15000,3.6711416840553284,3.6711416840553284,0.0,3.761918960014979,0.0,nan,nan,nan,6.068215059988e-05,491520000,6591.5,74568.47137547364,8.2109375,mha,dense,456,100456,200456
