iter,train_loss,optimization_loss,train_aux_loss,val_loss,val_aux_loss,router_entropy,max_load_fraction,load_cv,lr,tokens_seen,elapsed_s,tokens_per_second,peak_vram_gib,attn_mode,backbone,seed,train_data_seed,val_data_seed
0,nan,nan,nan,10.920670382181804,0.0,nan,nan,nan,0.0,0,21.0,nan,5.064453125,mla_coupled,dense,42,100042,200042
500,6.167839884757996,6.167839884757996,0.0,6.1420118912061055,0.0,nan,nan,nan,0.0001497,16384000,246.6,66443.06895044519,8.005859375,mla_coupled,dense,42,100042,200042
1000,5.2843440771102905,5.2843440771102905,0.0,5.370850292046865,0.0,nan,nan,nan,0.00029969999999999997,32768000,472.2,69393.95507249756,8.26953125,mla_coupled,dense,42,100042,200042
1500,4.921751618385315,4.921751618385315,0.0,5.000293694337209,0.0,nan,nan,nan,0.0004496999999999999,49152000,698.4,70375.34877255137,8.345703125,mla_coupled,dense,42,100042,200042
2000,4.654229402542114,4.654229402542114,0.0,4.723399446805318,0.0,nan,nan,nan,0.0005996999999999999,65536000,923.7,70950.37575245257,8.345703125,mla_coupled,dense,42,100042,200042
2500,4.527812719345093,4.527812719345093,0.0,4.52659961382548,0.0,nan,nan,nan,0.0005981266088736952,81920000,1149.2,71283.31525262624,8.345703125,mla_coupled,dense,42,100042,200042
3000,4.295238733291626,4.295238733291626,0.0,4.412684712409973,0.0,nan,nan,nan,0.0005925175294683882,98304000,1374.2,71534.5810468883,8.345703125,mla_coupled,dense,42,100042,200042
3500,4.409371256828308,4.409371256828308,0.0,4.336778341134389,0.0,nan,nan,nan,0.0005832509032072879,114688000,1599.6,71695.98433740504,8.345703125,mla_coupled,dense,42,100042,200042
4000,4.285725355148315,4.285725355148315,0.0,4.277616765101751,0.0,nan,nan,nan,0.0005704558381153472,131072000,1824.6,71837.78682051653,8.345703125,mla_coupled,dense,42,100042,200042
4500,4.124821066856384,4.124821066856384,0.0,4.225190716981888,0.0,nan,nan,nan,0.0005543106024788456,147456000,2050.0,71929.41505037979,8.345703125,mla_coupled,dense,42,100042,200042
5000,4.19068169593811,4.19068169593811,0.0,4.184821577866872,0.0,nan,nan,nan,0.000535040141107975,163840000,2274.9,72019.57109479047,8.345703125,mla_coupled,dense,42,100042,200042
5500,4.11156439781189,4.11156439781189,0.0,4.152990863720576,0.0,nan,nan,nan,0.0005129129412749549,180224000,2500.5,72076.0073212822,8.345703125,mla_coupled,dense,42,100042,200042
