iter,train_loss,optimization_loss,train_aux_loss,val_loss,val_aux_loss,router_entropy,max_load_fraction,load_cv,lr,tokens_seen,elapsed_s,tokens_per_second,peak_vram_gib,attn_mode,backbone,seed,train_data_seed,val_data_seed
0,nan,nan,nan,10.905533097585042,0.0,nan,nan,nan,0.0,0,21.7,nan,5.07421875,mla_decoupled,dense,42,100042,200042
500,6.174117684364319,6.174117684364319,0.0,6.143693002859751,0.0,nan,nan,nan,0.0001497,16384000,256.7,63828.32203434028,8.076171875,mla_decoupled,dense,42,100042,200042
1000,5.265024304389954,5.265024304389954,0.0,5.355501104990641,0.0,nan,nan,nan,0.00029969999999999997,32768000,491.8,66633.61182932198,8.41015625,mla_decoupled,dense,42,100042,200042
1500,4.84745192527771,4.84745192527771,0.0,4.911980471611023,0.0,nan,nan,nan,0.0004496999999999999,49152000,727.2,67589.77303852556,8.41015625,mla_decoupled,dense,42,100042,200042
2000,4.586677074432373,4.586677074432373,0.0,4.648109412988027,0.0,nan,nan,nan,0.0005996999999999999,65536000,962.2,68107.18757858821,8.41015625,mla_decoupled,dense,42,100042,200042
2500,4.4807939529418945,4.4807939529418945,0.0,4.47576750199,0.0,nan,nan,nan,0.0005981266088736952,81920000,1197.5,68407.29069044895,8.41015625,mla_decoupled,dense,42,100042,200042
3000,4.250089168548584,4.250089168548584,0.0,4.372123350302378,0.0,nan,nan,nan,0.0005925175294683882,98304000,1432.4,68628.61899310892,8.41015625,mla_decoupled,dense,42,100042,200042
3500,4.37017023563385,4.37017023563385,0.0,4.298756153583526,0.0,nan,nan,nan,0.0005832509032072879,114688000,1667.8,68767.25695172392,8.41015625,mla_decoupled,dense,42,100042,200042
4000,4.236885905265808,4.236885905265808,0.0,4.241371288696925,0.0,nan,nan,nan,0.0005704558381153472,131072000,1902.6,68890.78110498792,8.41015625,mla_decoupled,dense,42,100042,200042
4500,4.0881494879722595,4.0881494879722595,0.0,4.192083537975947,0.0,nan,nan,nan,0.0005543106024788456,147456000,2138.5,68951.85882907647,8.41015625,mla_decoupled,dense,42,100042,200042
5000,4.15395975112915,4.15395975112915,0.0,4.14934124469757,0.0,nan,nan,nan,0.000535040141107975,163840000,2373.3,69033.69308400783,8.41015625,mla_decoupled,dense,42,100042,200042
5500,4.076156377792358,4.076156377792358,0.0,4.120061646302541,0.0,nan,nan,nan,0.0005129129412749549,180224000,2608.7,69086.4766444105,8.41015625,mla_decoupled,dense,42,100042,200042
6000,3.922143816947937,3.922143816947937,0.0,4.0878684024016065,0.0,nan,nan,nan,0.00048823729199324884,196608000,2843.5,69142.9905904929,8.41015625,mla_decoupled,dense,42,100042,200042
6500,3.969909429550171,3.969909429550171,0.0,4.06544286886851,0.0,nan,nan,nan,0.00046135698875578174,212992000,3078.8,69179.57893125771,8.41015625,mla_decoupled,dense,42,100042,200042
7000,4.006354928016663,4.006354928016663,0.0,4.0344876364866895,0.0,nan,nan,nan,0.000432646543576239,229376000,3313.7,69220.6532500412,8.41015625,mla_decoupled,dense,42,100042,200042
7500,3.871200919151306,3.871200919151306,0.0,4.011169877449672,0.0,nan,nan,nan,0.00040250596706994045,245760000,3549.0,69247.58701670346,8.41015625,mla_decoupled,dense,42,100042,200042
8000,3.8839134573936462,3.8839134573936462,0.0,3.9878210373719534,0.0,nan,nan,nan,0.00037135519527336944,262144000,3783.8,69279.94534891848,8.41015625,mla_decoupled,dense,42,100042,200042
8500,3.802766442298889,3.802766442298889,0.0,3.964841878414154,0.0,nan,nan,nan,0.00033962823885115036,278528000,4019.2,69299.11023937017,8.41015625,mla_decoupled,dense,42,100042,200042
9000,3.94897198677063,3.94897198677063,0.0,3.95058634519577,0.0,nan,nan,nan,0.00030776713620712216,294912000,4254.0,69325.26363331279,8.41015625,mla_decoupled,dense,42,100042,200042
9500,3.823278784751892,3.823278784751892,0.0,3.927685657739639,0.0,nan,nan,nan,0.0002762157947482825,311296000,4489.4,69340.2544173518,8.41015625,mla_decoupled,dense,42,100042,200042
10000,3.936680793762207,3.936680793762207,0.0,3.9059907380739847,0.0,nan,nan,nan,0.00024541380610869324,327680000,4724.2,69361.87020040612,8.41015625,mla_decoupled,dense,42,100042,200042
10500,3.7705668210983276,3.7705668210983276,0.0,3.877304565111796,0.0,nan,nan,nan,0.00021579032150324256,344064000,4959.5,69375.09962496866,8.41015625,mla_decoupled,dense,42,100042,200042
11000,3.7895853519439697,3.7895853519439697,0.0,3.8825375556945803,0.0,nan,nan,nan,0.0001877580725433998,360448000,5194.3,69392.49635759338,8.41015625,mla_decoupled,dense,42,100042,200042
11500,3.8325543999671936,3.8325543999671936,0.0,3.8677216414610545,0.0,nan,nan,nan,0.00016170762082042857,376832000,5429.7,69402.07779972866,8.41015625,mla_decoupled,dense,42,100042,200042
12000,3.779581904411316,3.779581904411316,0.0,3.8422863431771597,0.0,nan,nan,nan,0.0001380019163742152,393216000,5665.0,69411.34370240475,8.41015625,mla_decoupled,dense,42,100042,200042
12500,3.7561888098716736,3.7561888098716736,0.0,3.8210155026117962,0.0,nan,nan,nan,0.00011697124086228238,409600000,5900.3,69420.04918737963,8.41015625,mla_decoupled,dense,42,100042,200042
13000,3.7386414408683777,3.7386414408683777,0.0,3.814720077117284,0.0,nan,nan,nan,9.890860588370181e-05,425984000,6135.1,69433.3939691576,8.41015625,mla_decoupled,dense,42,100042,200042
13500,3.795669913291931,3.795669913291931,0.0,3.809736681381861,0.0,nan,nan,nan,8.406567057113034e-05,442368000,6370.7,69438.31798724503,8.41015625,mla_decoupled,dense,42,100042,200042
14000,3.8014795184135437,3.8014795184135437,0.0,3.802262765169144,0.0,nan,nan,nan,7.264923532945212e-05,458752000,6605.5,69450.33711374957,8.41015625,mla_decoupled,dense,42,100042,200042
14500,3.6644622087478638,3.6644622087478638,0.0,3.800343471765518,0.0,nan,nan,nan,6.481836057229788e-05,475136000,6840.8,69456.26487116177,8.41015625,mla_decoupled,dense,42,100042,200042
15000,3.794983446598053,3.794983446598053,0.0,3.795376091400782,0.0,nan,nan,nan,6.068215059988e-05,491520000,7075.6,69466.6241969352,8.41015625,mla_decoupled,dense,42,100042,200042
