iter,train_loss,optimization_loss,train_aux_loss,val_loss,val_aux_loss,router_entropy,max_load_fraction,load_cv,lr,tokens_seen,elapsed_s,tokens_per_second,peak_vram_gib,attn_mode,backbone,seed,train_data_seed,val_data_seed
0,nan,nan,nan,10.961431153615315,0.008001764433768889,2.622690534591675,0.1866748034954071,0.5945791386592272,0.0,0,37.2,nan,5.17578125,mha_decoupled,moe,123,100123,200123
500,6.035836696624756,6.041452884674072,0.0056162436958402395,6.10961669921875,0.005671204697185506,2.072766375541687,0.11313354223966599,0.2941177146474026,0.0001497,16384000,400.4,40914.319346564356,8.724609375,mha_decoupled,moe,123,100123,200123
1000,5.21724271774292,5.223032712936401,0.005790090071968734,5.279567819436391,0.00582096356820936,1.739914846420288,0.11698242276906967,0.2910547628691334,0.00029969999999999997,32768000,763.4,42921.79551259234,9.30078125,mha_decoupled,moe,123,100123,200123
1500,4.6906596422195435,4.696293830871582,0.005634206347167492,4.801394729614258,0.005730104943892608,1.7080621004104615,0.10459472984075546,0.2513533691806122,0.0004496999999999999,49152000,1127.0,43614.38161244571,9.30078125,mha_decoupled,moe,123,100123,200123
2000,4.57742178440094,4.58307147026062,0.005649640108458698,4.550363530317942,0.005733142886310816,1.719140386581421,0.10997924953699112,0.25625688031478033,0.0005996999999999999,65536000,1489.6,43996.438311086946,9.30078125,mha_decoupled,moe,123,100123,200123
2500,4.297700881958008,4.303596377372742,0.005895563750527799,4.374685427347819,0.005727003410769005,1.7300530672073364,0.1074206531047821,0.27035978238494823,0.0005981266088736952,81920000,1853.1,44207.51790978437,9.30078125,mha_decoupled,moe,123,100123,200123
3000,4.231733322143555,4.237372994422913,0.00563961872830987,4.270041714509328,0.00575753358270352,1.6974855184555053,0.12007812410593033,0.2885458147858163,0.0005925175294683882,98304000,2215.9,44363.89650760054,9.30078125,mha_decoupled,moe,123,100123,200123
3500,4.131187558174133,4.136942625045776,0.005755119840614498,4.198586732149124,0.005721551470924169,1.6989612102508544,0.12053222954273224,0.30402367974316086,0.0005832509032072879,114688000,2579.8,44455.48423336568,9.30078125,mha_decoupled,moe,123,100123,200123
4000,3.9755695462226868,3.981283128261566,0.00571359065361321,4.133133904536565,0.005741934270287553,1.6862017154693603,0.11886963248252869,0.2750413736571608,0.0005704558381153472,131072000,2942.5,44544.59203888414,9.30078125,mha_decoupled,moe,123,100123,200123
4500,3.9311646223068237,3.9368069767951965,0.005642313160933554,4.096878019571304,0.005706852980268498,1.6871904134750366,0.11822021752595901,0.2918265737660146,0.0005543106024788456,147456000,3305.9,44603.886192479855,9.30078125,mha_decoupled,moe,123,100123,200123
5000,3.971432685852051,3.977148473262787,0.005715783219784498,4.048337824344635,0.0057404179739144945,1.6828413963317872,0.12214477360248566,0.2938575125697414,0.000535040141107975,163840000,3668.5,44661.65679145714,9.30078125,mha_decoupled,moe,123,100123,200123
5500,3.974892020225525,3.9806820154190063,0.005789964576251805,4.013569513559341,0.005732406355285396,1.669219470024109,0.12247436493635178,0.2923837986180534,0.0005129129412749549,180224000,4032.1,44697.01351449766,9.30078125,mha_decoupled,moe,123,100123,200123
6000,3.9693188667297363,3.9750856161117554,0.005766780464909971,3.987051674524943,0.005745886888665458,1.6787190675735473,0.12114623934030533,0.29116245477403835,0.00048823729199324884,196608000,4394.9,44735.940735909666,9.30078125,mha_decoupled,moe,123,100123,200123
6500,3.8322355151176453,3.837952435016632,0.005716935382224619,3.9600547234217327,0.005719745283325513,1.6669233322143555,0.12294067442417145,0.2897552076987128,0.00046135698875578174,212992000,4758.4,44761.24563874455,9.30078125,mha_decoupled,moe,123,100123,200123
7000,3.8045873045921326,3.8105775713920593,0.005990164936520159,3.9288770997524263,0.005729852478640775,1.6726391792297364,0.1258813440799713,0.2892864535677355,0.000432646543576239,229376000,5121.1,44789.98954406304,9.30078125,mha_decoupled,moe,123,100123,200123
