iter,attn_mode,backbone,seed,layer,expert,selected_fraction,mean_probability,router_entropy
0,mha_decoupled,moe,456,1,0,0.045008543878793716,0.05902312323451042,2.626617670059204
0,mha_decoupled,moe,456,1,1,0.08808227628469467,0.0690254345536232,2.626617670059204
0,mha_decoupled,moe,456,1,2,0.07207763940095901,0.0662313774228096,2.626617670059204
0,mha_decoupled,moe,456,1,3,0.02651122957468033,0.05041595920920372,2.626617670059204
0,mha_decoupled,moe,456,1,4,0.03354492038488388,0.052191805094480515,2.626617670059204
0,mha_decoupled,moe,456,1,5,0.051793213933706284,0.057525262236595154,2.626617670059204
0,mha_decoupled,moe,456,1,6,0.04518432542681694,0.05952318757772446,2.626617670059204
0,mha_decoupled,moe,456,1,7,0.06157226487994194,0.06415611505508423,2.626617670059204
0,mha_decoupled,moe,456,1,8,0.052589111030101776,0.05825330317020416,2.626617670059204
0,mha_decoupled,moe,456,1,9,0.12287841737270355,0.08247021585702896,2.626617670059204
0,mha_decoupled,moe,456,1,10,0.019307861104607582,0.04508398100733757,2.626617670059204
0,mha_decoupled,moe,456,1,11,0.09895507991313934,0.07394527643918991,2.626617670059204
0,mha_decoupled,moe,456,1,12,0.10181518644094467,0.07465264201164246,2.626617670059204
0,mha_decoupled,moe,456,1,13,0.07542480528354645,0.06746938824653625,2.626617670059204
0,mha_decoupled,moe,456,1,14,0.07088378816843033,0.06511037796735764,2.626617670059204
0,mha_decoupled,moe,456,1,15,0.03437133878469467,0.05492256209254265,2.626617670059204
0,mha_decoupled,moe,456,2,0,0.03645874187350273,0.05573122203350067,2.624873161315918
0,mha_decoupled,moe,456,2,1,0.021586913615465164,0.049249857664108276,2.624873161315918
0,mha_decoupled,moe,456,2,2,0.03639282286167145,0.05671411380171776,2.624873161315918
0,mha_decoupled,moe,456,2,3,0.07575195282697678,0.07009784877300262,2.624873161315918
0,mha_decoupled,moe,456,2,4,0.0836474597454071,0.0696130096912384,2.624873161315918
0,mha_decoupled,moe,456,2,5,0.013826903887093067,0.040998492389917374,2.624873161315918
0,mha_decoupled,moe,456,2,6,0.024478759616613388,0.050339460372924805,2.624873161315918
0,mha_decoupled,moe,456,2,7,0.04118896648287773,0.05653182044625282,2.624873161315918
0,mha_decoupled,moe,456,2,8,0.13736450672149658,0.08663350343704224,2.624873161315918
0,mha_decoupled,moe,456,2,9,0.19145263731479645,0.0975320041179657,2.624873161315918
0,mha_decoupled,moe,456,2,10,0.01385498046875,0.045068804174661636,2.624873161315918
0,mha_decoupled,moe,456,2,11,0.022667236626148224,0.04989905655384064,2.624873161315918
0,mha_decoupled,moe,456,2,12,0.066497802734375,0.06459876894950867,2.624873161315918
0,mha_decoupled,moe,456,2,13,0.08024536073207855,0.07024859637022018,2.624873161315918
0,mha_decoupled,moe,456,2,14,0.05499877780675888,0.06204398721456528,2.624873161315918
