iter,attn_mode,backbone,seed,layer,expert,selected_fraction,mean_probability,router_entropy
0,mla_decoupled,moe,456,1,0,0.04316161945462227,0.056726206094026566,2.625170946121216
0,mla_decoupled,moe,456,1,1,0.057170409709215164,0.06136873736977577,2.625170946121216
0,mla_decoupled,moe,456,1,2,0.04992919787764549,0.05593672767281532,2.625170946121216
0,mla_decoupled,moe,456,1,3,0.08775635063648224,0.06927261501550674,2.625170946121216
0,mla_decoupled,moe,456,1,4,0.04364013671875,0.05808423087000847,2.625170946121216
0,mla_decoupled,moe,456,1,5,0.047633055597543716,0.05682504549622536,2.625170946121216
0,mla_decoupled,moe,456,1,6,0.09154053032398224,0.07253824919462204,2.625170946121216
0,mla_decoupled,moe,456,1,7,0.03158935531973839,0.05358380824327469,2.625170946121216
0,mla_decoupled,moe,456,1,8,0.04949096590280533,0.05479665845632553,2.625170946121216
0,mla_decoupled,moe,456,1,9,0.0693652331829071,0.06680146604776382,2.625170946121216
0,mla_decoupled,moe,456,1,10,0.09250610321760178,0.07083037495613098,2.625170946121216
0,mla_decoupled,moe,456,1,11,0.05477050691843033,0.06165555492043495,2.625170946121216
0,mla_decoupled,moe,456,1,12,0.08007080107927322,0.06680107861757278,2.625170946121216
0,mla_decoupled,moe,456,1,13,0.05790649354457855,0.0625796914100647,2.625170946121216
0,mla_decoupled,moe,456,1,14,0.09115844964981079,0.07146403938531876,2.625170946121216
0,mla_decoupled,moe,456,1,15,0.05231079086661339,0.06073549762368202,2.625170946121216
0,mla_decoupled,moe,456,2,0,0.0625317394733429,0.0638282522559166,2.6178271770477295
0,mla_decoupled,moe,456,2,1,0.03727538883686066,0.053195521235466,2.6178271770477295
0,mla_decoupled,moe,456,2,2,0.04134765639901161,0.05749843269586563,2.6178271770477295
0,mla_decoupled,moe,456,2,3,0.13569824397563934,0.08333173394203186,2.6178271770477295
0,mla_decoupled,moe,456,2,4,0.04084228351712227,0.05487552285194397,2.6178271770477295
0,mla_decoupled,moe,456,2,5,0.030031738802790642,0.05013572797179222,2.6178271770477295
0,mla_decoupled,moe,456,2,6,0.051777344197034836,0.0582001730799675,2.6178271770477295
0,mla_decoupled,moe,456,2,7,0.03615356609225273,0.054826680570840836,2.6178271770477295
0,mla_decoupled,moe,456,2,8,0.11448852717876434,0.07952986657619476,2.6178271770477295
0,mla_decoupled,moe,456,2,9,0.044157713651657104,0.058578308671712875,2.6178271770477295
0,mla_decoupled,moe,456,2,10,0.05918700993061066,0.06071498245000839,2.6178271770477295
0,mla_decoupled,moe,456,2,11,0.03978271409869194,0.055855222046375275,2.6178271770477295
0,mla_decoupled,moe,456,2,12,0.0867919921875,0.0679408386349678,2.6178271770477295
0,mla_decoupled,moe,456,2,13,0.03322998061776161,0.054663658142089844,2.6178271770477295
0,mla_decoupled,moe,456,2,14,0.11430297791957855,0.08010707795619965,2.6178271770477295
0,mla_decoupled,moe,456,2,15,0.07240112125873566,0.06671801209449768,2.6178271770477295
0,mla_decoupled,moe,456,3,0,0.05764404311776161,0.05998369678854942,2.6173346042633057
0,mla_decoupled,moe,456,3,1,0.06834717094898224,0.06477019935846329,2.6173346042633057
0,mla_decoupled,moe,456,3,2,0.10362549126148224,0.07519443333148956,2.6173346042633057
0,mla_decoupled,moe,456,3,3,0.03438110277056694,0.05163748562335968,2.6173346042633057
0,mla_decoupled,moe,456,3,4,0.042011719197034836,0.05467142537236214,2.6173346042633057
0,mla_decoupled,moe,456,3,5,0.040465086698532104,0.05431872233748436,2.6173346042633057
0,mla_decoupled,moe,456,3,6,0.06594116240739822,0.06450006365776062,2.6173346042633057
0,mla_decoupled,moe,456,3,7,0.10251953452825546,0.07676942646503448,2.6173346042633057
0,mla_decoupled,moe,456,3,8,0.06553833186626434,0.06517098098993301,2.6173346042633057
0,mla_decoupled,moe,456,3,9,0.03409668058156967,0.053383585065603256,2.6173346042633057
0,mla_decoupled,moe,456,3,10,0.06625976413488388,0.06555016338825226,2.6173346042633057
0,mla_decoupled,moe,456,3,11,0.03259643539786339,0.05343914031982422,2.6173346042633057
0,mla_decoupled,moe,456,3,12,0.04312988370656967,0.05719462409615517,2.6173346042633057
0,mla_decoupled,moe,456,3,13,0.1469152867794037,0.08854834735393524,2.6173346042633057
0,mla_decoupled,moe,456,3,14,0.07617431879043579,0.06908848881721497,2.6173346042633057
0,mla_decoupled,moe,456,3,15,0.020354004576802254,0.04577919840812683,2.6173346042633057
0,mla_decoupled,moe,456,4,0,0.05668945237994194,0.05987422540783882,2.621868848800659
0,mla_decoupled,moe,456,4,1,0.026322022080421448,0.05240343511104584,2.621868848800659
0,mla_decoupled,moe,456,4,2,0.02092285081744194,0.044043321162462234,2.621868848800659
0,mla_decoupled,moe,456,4,3,0.1603710949420929,0.0897686555981636,2.621868848800659
0,mla_decoupled,moe,456,4,4,0.03495971858501434,0.055872153490781784,2.621868848800659
0,mla_decoupled,moe,456,4,5,0.06722167879343033,0.06488703191280365,2.621868848800659
0,mla_decoupled,moe,456,4,6,0.06077270582318306,0.06301530450582504,2.621868848800659
0,mla_decoupled,moe,456,4,7,0.03834350407123566,0.05575677007436752,2.621868848800659
0,mla_decoupled,moe,456,4,8,0.03538574278354645,0.0540088452398777,2.621868848800659
0,mla_decoupled,moe,456,4,9,0.16367797553539276,0.09048427641391754,2.621868848800659
0,mla_decoupled,moe,456,4,10,0.051585692912340164,0.059153638780117035,2.621868848800659
0,mla_decoupled,moe,456,4,11,0.059937745332717896,0.06364249438047409,2.621868848800659
0,mla_decoupled,moe,456,4,12,0.05244995281100273,0.0606987364590168,2.621868848800659
0,mla_decoupled,moe,456,4,13,0.03603759780526161,0.05547620356082916,2.621868848800659
0,mla_decoupled,moe,456,4,14,0.05270141735672951,0.06172190606594086,2.621868848800659
0,mla_decoupled,moe,456,4,15,0.08262085169553757,0.06919298321008682,2.621868848800659
0,mla_decoupled,moe,456,5,0,0.019022217020392418,0.04637853056192398,2.6189441680908203
0,mla_decoupled,moe,456,5,1,0.08952758461236954,0.07216248661279678,2.6189441680908203
0,mla_decoupled,moe,456,5,2,0.021566161885857582,0.04724390059709549,2.6189441680908203
0,mla_decoupled,moe,456,5,3,0.04936157166957855,0.05794493854045868,2.6189441680908203
0,mla_decoupled,moe,456,5,4,0.043305665254592896,0.05810435116291046,2.6189441680908203
0,mla_decoupled,moe,456,5,5,0.10519042611122131,0.07706674933433533,2.6189441680908203
0,mla_decoupled,moe,456,5,6,0.09764526039361954,0.07445260882377625,2.6189441680908203
0,mla_decoupled,moe,456,5,7,0.03577026352286339,0.05297807231545448,2.6189441680908203
0,mla_decoupled,moe,456,5,8,0.08153197914361954,0.07126705348491669,2.6189441680908203
0,mla_decoupled,moe,456,5,9,0.037568360567092896,0.05380283296108246,2.6189441680908203
0,mla_decoupled,moe,456,5,10,0.10627563297748566,0.07743030786514282,2.6189441680908203
0,mla_decoupled,moe,456,5,11,0.13326415419578552,0.08379524201154709,2.6189441680908203
0,mla_decoupled,moe,456,5,12,0.051929932087659836,0.05823173001408577,2.6189441680908203
0,mla_decoupled,moe,456,5,13,0.021369628608226776,0.05040327459573746,2.6189441680908203
0,mla_decoupled,moe,456,5,14,0.022811278700828552,0.04795006662607193,2.6189441680908203
0,mla_decoupled,moe,456,5,15,0.08385986089706421,0.07078786939382553,2.6189441680908203
500,mla_decoupled,moe,456,1,0,0.05723022297024727,0.05465744435787201,2.3364198207855225
500,mla_decoupled,moe,456,1,1,0.054472655057907104,0.058216825127601624,2.3364198207855225
500,mla_decoupled,moe,456,1,2,0.060423582792282104,0.060808077454566956,2.3364198207855225
500,mla_decoupled,moe,456,1,3,0.08155883848667145,0.06972570717334747,2.3364198207855225
500,mla_decoupled,moe,456,1,4,0.059569090604782104,0.06122599542140961,2.3364198207855225
500,mla_decoupled,moe,456,1,5,0.04072265699505806,0.045423850417137146,2.3364198207855225
500,mla_decoupled,moe,456,1,6,0.055842284113168716,0.0570841021835804,2.3364198207855225
500,mla_decoupled,moe,456,1,7,0.041199952363967896,0.04987480491399765,2.3364198207855225
500,mla_decoupled,moe,456,1,8,0.06301025301218033,0.06759494543075562,2.3364198207855225
500,mla_decoupled,moe,456,1,9,0.06551025062799454,0.06586279720067978,2.3364198207855225
500,mla_decoupled,moe,456,1,10,0.08543212711811066,0.06879054754972458,2.3364198207855225
500,mla_decoupled,moe,456,1,11,0.07386596500873566,0.06981978565454483,2.3364198207855225
500,mla_decoupled,moe,456,1,12,0.06792480498552322,0.06902213394641876,2.3364198207855225
500,mla_decoupled,moe,456,1,13,0.05725463852286339,0.06328195333480835,2.3364198207855225
500,mla_decoupled,moe,456,1,14,0.060218505561351776,0.06857390701770782,2.3364198207855225
500,mla_decoupled,moe,456,1,15,0.07576415687799454,0.07003714889287949,2.3364198207855225
500,mla_decoupled,moe,456,2,0,0.05184570327401161,0.0639810562133789,2.418060302734375
500,mla_decoupled,moe,456,2,1,0.07488403469324112,0.06404433399438858,2.418060302734375
500,mla_decoupled,moe,456,2,2,0.06453125178813934,0.06963437795639038,2.418060302734375
500,mla_decoupled,moe,456,2,3,0.034687500447034836,0.05775034427642822,2.418060302734375
500,mla_decoupled,moe,456,2,4,0.06797363609075546,0.06928126513957977,2.418060302734375
500,mla_decoupled,moe,456,2,5,0.06093383952975273,0.06695616245269775,2.418060302734375
500,mla_decoupled,moe,456,2,6,0.07490234076976776,0.07169689983129501,2.418060302734375
500,mla_decoupled,moe,456,2,7,0.05229370296001434,0.05337429419159889,2.418060302734375
500,mla_decoupled,moe,456,2,8,0.03441528230905533,0.054290447384119034,2.418060302734375
500,mla_decoupled,moe,456,2,9,0.060792237520217896,0.06030065193772316,2.418060302734375
500,mla_decoupled,moe,456,2,10,0.043049316853284836,0.03717761114239693,2.418060302734375
500,mla_decoupled,moe,456,2,11,0.06172241270542145,0.062193650752305984,2.418060302734375
500,mla_decoupled,moe,456,2,12,0.08245849609375,0.06155310198664665,2.418060302734375
500,mla_decoupled,moe,456,2,13,0.07752563804388046,0.06861387938261032,2.418060302734375
500,mla_decoupled,moe,456,2,14,0.09217773377895355,0.07927991449832916,2.418060302734375
500,mla_decoupled,moe,456,2,15,0.06580688804388046,0.059871964156627655,2.418060302734375
500,mla_decoupled,moe,456,3,0,0.05149170011281967,0.05167726054787636,2.167877197265625
500,mla_decoupled,moe,456,3,1,0.04490356519818306,0.058437857776880264,2.167877197265625
500,mla_decoupled,moe,456,3,2,0.030455322936177254,0.05079943686723709,2.167877197265625
500,mla_decoupled,moe,456,3,3,0.02768554724752903,0.040890198200941086,2.167877197265625
500,mla_decoupled,moe,456,3,4,0.06774414330720901,0.06241648271679878,2.167877197265625
500,mla_decoupled,moe,456,3,5,0.07530639320611954,0.06585425138473511,2.167877197265625
500,mla_decoupled,moe,456,3,6,0.08725952357053757,0.0746874287724495,2.167877197265625
500,mla_decoupled,moe,456,3,7,0.07103759795427322,0.07008839398622513,2.167877197265625
500,mla_decoupled,moe,456,3,8,0.06015991047024727,0.06254372000694275,2.167877197265625
500,mla_decoupled,moe,456,3,9,0.09101196378469467,0.0764647126197815,2.167877197265625
500,mla_decoupled,moe,456,3,10,0.05346435680985451,0.05426262319087982,2.167877197265625
500,mla_decoupled,moe,456,3,11,0.07742797583341599,0.06548287719488144,2.167877197265625
500,mla_decoupled,moe,456,3,12,0.07408691197633743,0.07377676665782928,2.167877197265625
500,mla_decoupled,moe,456,3,13,0.09014648199081421,0.07201219350099564,2.167877197265625
500,mla_decoupled,moe,456,3,14,0.05661376938223839,0.06599658727645874,2.167877197265625
500,mla_decoupled,moe,456,3,15,0.04120483249425888,0.05460924282670021,2.167877197265625
500,mla_decoupled,moe,456,4,0,0.06662964075803757,0.064475879073143,1.978675127029419
500,mla_decoupled,moe,456,4,1,0.024534912779927254,0.03825204446911812,1.978675127029419
500,mla_decoupled,moe,456,4,2,0.0730883777141571,0.06855818629264832,1.978675127029419
500,mla_decoupled,moe,456,4,3,0.04308227449655533,0.04380365461111069,1.978675127029419
500,mla_decoupled,moe,456,4,4,0.075103759765625,0.06958676129579544,1.978675127029419
500,mla_decoupled,moe,456,4,5,0.0716552734375,0.06281986832618713,1.978675127029419
500,mla_decoupled,moe,456,4,6,0.06680664420127869,0.0667705312371254,1.978675127029419
500,mla_decoupled,moe,456,4,7,0.053352050483226776,0.049436263740062714,1.978675127029419
500,mla_decoupled,moe,456,4,8,0.07273437827825546,0.07741128653287888,1.978675127029419
500,mla_decoupled,moe,456,4,9,0.03276367112994194,0.04400457814335823,1.978675127029419
500,mla_decoupled,moe,456,4,10,0.05965210124850273,0.05261101573705673,1.978675127029419
500,mla_decoupled,moe,456,4,11,0.06552856415510178,0.06031288579106331,1.978675127029419
500,mla_decoupled,moe,456,4,12,0.08986206352710724,0.09275831282138824,1.978675127029419
