iter,train_loss,optimization_loss,train_aux_loss,val_loss,val_aux_loss,router_entropy,max_load_fraction,load_cv,lr,tokens_seen,elapsed_s,attn_mode,seed,train_data_seed,val_data_seed
0,nan,nan,nan,10.932947483062744,0.007293556604223947,2.618913459777832,0.29755768179893494,0.8936985421189221,0.0,0,40.0,mha_rope,456,100456,200456
500,6.109526038169861,6.115081548690796,0.0055554554564878345,6.141135336558024,0.005601328813160459,2.240614652633667,0.1031513437628746,0.268610075588162,0.0001497,16384000,485.2,mha_rope,456,100456,200456
1000,5.302515268325806,5.308318495750427,0.005803227424621582,5.279979864756267,0.00566367227351293,1.8124159812927245,0.09366292506456375,0.21433995043476806,0.00029969999999999997,32768000,926.5,mha_rope,456,100456,200456
1500,4.728925466537476,4.734565734863281,0.005640171701088548,4.751624172528585,0.005657338243133078,1.7053358554840088,0.09658660739660263,0.21744363432117836,0.0004496999999999999,49152000,1369.9,mha_rope,456,100456,200456
2000,4.428554058074951,4.434149861335754,0.005595777183771133,4.48264848947525,0.005677888735663146,1.6795734643936158,0.0953528881072998,0.24412510994833828,0.0005996999999999999,65536000,1811.4,mha_rope,456,100456,200456
2500,4.319688558578491,4.3253397941589355,0.005651217186823487,4.323152238527934,0.00559956855373457,1.6855247974395753,0.09221343696117401,0.2047341194226801,0.0005981266088736952,81920000,2264.1,mha_rope,456,100456,200456
3000,4.136420011520386,4.141957402229309,0.0055373647483065724,4.2164839275678,0.005619243894082805,1.6519272804260254,0.09997233003377914,0.22426410263546695,0.0005925175294683882,98304000,2705.4,mha_rope,456,100456,200456
3500,4.161278784275055,4.16692054271698,0.005641675088554621,4.147337385018667,0.005620073510023455,1.6464670181274415,0.0966026782989502,0.2331609653892044,0.0005832509032072879,114688000,3148.5,mha_rope,456,100456,200456
4000,3.983535587787628,3.989150822162628,0.0056152790784835815,4.092359931866328,0.005616901135072112,1.636541223526001,0.09924235194921494,0.21999763122210947,0.0005704558381153472,131072000,3589.8,mha_rope,456,100456,200456
4500,4.06513774394989,4.070743680000305,0.005605968646705151,4.047322005828222,0.005604528069961816,1.6273812294006347,0.0921427384018898,0.20313328905901784,0.0005543106024788456,147456000,4034.0,mha_rope,456,100456,200456
5000,3.9960232377052307,4.00162410736084,0.005600841715931892,4.008330093224843,0.005624544001184404,1.6126438617706298,0.09722422063350677,0.2208493581294193,0.000535040141107975,163840000,4475.2,mha_rope,456,100456,200456
5500,3.8942745327949524,3.8998497128486633,0.0055751834297552705,3.9879200828075407,0.005611335818345348,1.622624158859253,0.09795796871185303,0.20916247712551547,0.0005129129412749549,180224000,4918.1,mha_rope,456,100456,200456
6000,3.9066078066825867,3.9122283458709717,0.005620578303933144,3.9528637433052065,0.005629746598036339,1.5861352682113647,0.09446919709444046,0.2327231781800138,0.00048823729199324884,196608000,5359.3,mha_rope,456,100456,200456
6500,3.911088764667511,3.9167396426200867,0.005650880513712764,3.9178545196851093,0.005624420236175259,1.588595175743103,0.09944295138120651,0.21365906846117827,0.00046135698875578174,212992000,5804.1,mha_rope,456,100456,200456
7000,3.8613643050193787,3.866872012615204,0.005507722729817033,3.896182610988617,0.005646928170851121,1.583430528640747,0.1040758267045021,0.21821671053535377,0.000432646543576239,229376000,6245.0,mha_rope,456,100456,200456
7500,3.8184118270874023,3.823954999446869,0.00554314604960382,3.8764950907230378,0.005634889366726081,1.5671933889389038,0.10029683262109756,0.22471545551495292,0.00040250596706994045,245760000,6687.9,mha_rope,456,100456,200456
8000,3.8800088763237,3.8856236338615417,0.00561478128656745,3.864870477517446,0.005635510032686094,1.5661054372787475,0.10166951268911362,0.22459886347936608,0.00037135519527336944,262144000,7129.0,mha_rope,456,100456,200456
8500,3.740384519100189,3.745989739894867,0.005605215090326965,3.836313729683558,0.005638473358315726,1.55862295627594,0.0996456891298294,0.22456765091602987,0.00033962823885115036,278528000,7573.3,mha_rope,456,100456,200456
9000,3.6626043915748596,3.6682000160217285,0.005595588241703808,3.8116374675432843,0.005642139139429976,1.5617942333221435,0.10336975008249283,0.2130656209479771,0.00030776713620712216,294912000,8014.7,mha_rope,456,100456,200456
9500,3.6970624923706055,3.7027753591537476,0.005712808109819889,3.7924292198816936,0.0056434222683310505,1.5539081335067748,0.10602284967899323,0.21525779987599664,0.0002762157947482825,311296000,8457.7,mha_rope,456,100456,200456
10000,3.7543644309043884,3.759994924068451,0.005630464758723974,3.7736500879128774,0.00562608423953255,1.5438977241516114,0.10359395295381546,0.21918362702229652,0.00024541380610869324,327680000,8898.8,mha_rope,456,100456,200456
10500,3.7468709349632263,3.752523362636566,0.005652470164932311,3.7534998814264933,0.005635704372543841,1.5433650255203246,0.10522755980491638,0.2193736002763766,0.00021579032150324256,344064000,9344.1,mha_rope,456,100456,200456
11000,3.680804669857025,3.6864119172096252,0.005607212544418871,3.747906271616618,0.005649486671512325,1.5359326124191284,0.10408854484558105,0.21474122111823815,0.0001877580725433998,360448000,9787.0,mha_rope,456,100456,200456
11500,3.649288296699524,3.6549565196037292,0.005668263416737318,3.7276612341403963,0.005622991302516311,1.5353589296340941,0.10441772639751434,0.21653684628171002,0.00016170762082042857,376832000,10230.6,mha_rope,456,100456,200456
12000,3.653965413570404,3.659713089466095,0.005747699411585927,3.707511875629425,0.005646445725578815,1.528629970550537,0.10427612066268921,0.217471327583484,0.0001380019163742152,393216000,10672.4,mha_rope,456,100456,200456
12500,3.50617516040802,3.511905252933502,0.005730182747356594,3.6976800100008647,0.005645506993557016,1.531490397453308,0.10745615512132645,0.2214796193176284,0.00011697124086228238,409600000,11116.7,mha_rope,456,100456,200456
13000,3.4996216893196106,3.5052958726882935,0.005674196756444871,3.6850151399771374,0.0056450426718220115,1.5248149156570434,0.10503631830215454,0.21437836704855934,9.890860588370181e-05,425984000,11557.6,mha_rope,456,100456,200456
13500,3.592264771461487,3.597847044467926,0.0055823157308623195,3.679419233004252,0.005631039485645791,1.5267147541046142,0.1049797534942627,0.21609538161831793,8.406567057113034e-05,442368000,12000.4,mha_rope,456,100456,200456
14000,3.590692460536957,3.596283972263336,0.005591531866230071,3.6796551064650216,0.0056260716690060995,1.5295300722122191,0.10515065491199493,0.2141637037512462,7.264923532945212e-05,458752000,12444.6,mha_rope,456,100456,200456
14500,3.5291886925697327,3.5347536206245422,0.00556494458578527,3.665824258327484,0.005638938647074004,1.5217483282089233,0.10502349585294724,0.21868374098876137,6.481836057229788e-05,475136000,12892.3,mha_rope,456,100456,200456
15000,3.6202791929244995,3.625802159309387,0.005522979190573096,3.653974302212397,0.00564060246416678,1.5209428310394286,0.10486297309398651,0.2170421225748132,6.068215059988e-05,491520000,13333.2,mha_rope,456,100456,200456
