iter,train_loss,val_loss,lr,tokens_seen,elapsed_s,attn_mode,seed,train_data_seed,val_data_seed
0,nan,10.946296780904134,0.0,0,0.0,mla_current,123,100123,200123
500,6.178490161895752,6.210210156440735,0.0001497,16384000,232.9,mla_current,123,100123,200123
1000,5.352351188659668,5.395620802243551,0.00029969999999999997,32768000,443.7,mla_current,123,100123,200123
1500,4.885396957397461,4.953173476060232,0.0004496999999999999,49152000,654.0,mla_current,123,100123,200123
2000,4.5914894342422485,4.647203409671784,0.0005996999999999999,65536000,862.7,mla_current,123,100123,200123
2500,4.420866012573242,4.453116992314657,0.0005981266088736952,81920000,1074.3,mla_current,123,100123,200123
3000,4.286877632141113,4.35293123404185,0.0005925175294683882,98304000,1284.2,mla_current,123,100123,200123
3500,4.23868191242218,4.2734524734814965,0.0005832509032072879,114688000,1492.3,mla_current,123,100123,200123
4000,4.215188503265381,4.214366325537363,0.0005704558381153472,131072000,1700.3,mla_current,123,100123,200123
4500,4.087010979652405,4.1745562668641405,0.0005543106024788456,147456000,1908.4,mla_current,123,100123,200123
5000,4.1244683265686035,4.1310045266151425,0.000535040141107975,163840000,2116.4,mla_current,123,100123,200123
5500,4.125881791114807,4.103788251479466,0.0005129129412749549,180224000,2324.9,mla_current,123,100123,200123
6000,4.036630630493164,4.079164667526881,0.00048823729199324884,196608000,2533.1,mla_current,123,100123,200123
6500,3.9484894275665283,4.04819776058197,0.00046135698875578174,212992000,2741.2,mla_current,123,100123,200123
7000,3.978605031967163,4.023661379416784,0.000432646543576239,229376000,2949.3,mla_current,123,100123,200123
7500,3.99089378118515,4.002619463205337,0.00040250596706994045,245760000,3157.3,mla_current,123,100123,200123
8000,3.945055067539215,3.976464097102483,0.00037135519527336944,262144000,3365.4,mla_current,123,100123,200123
8500,3.7789576649665833,3.9573785614967347,0.00033962823885115036,278528000,3573.5,mla_current,123,100123,200123
9000,3.8519389033317566,3.948402978579203,0.00030776713620712216,294912000,3781.5,mla_current,123,100123,200123
9500,3.8427354097366333,3.9185092516740165,0.0002762157947482825,311296000,3989.6,mla_current,123,100123,200123
10000,3.8820992708206177,3.908696373701096,0.00024541380610869324,327680000,4197.7,mla_current,123,100123,200123
10500,3.9075721502304077,3.8882003120581308,0.00021579032150324256,344064000,4406.3,mla_current,123,100123,200123
11000,3.8700190782546997,3.8634915188948313,0.0001877580725433998,360448000,4614.3,mla_current,123,100123,200123
11500,3.779497504234314,3.8585463352998097,0.00016170762082042857,376832000,4822.4,mla_current,123,100123,200123
12000,3.6956677436828613,3.8402100086212156,0.0001380019163742152,393216000,5030.5,mla_current,123,100123,200123
12500,3.844410538673401,3.835896368821462,0.00011697124086228238,409600000,5238.6,mla_current,123,100123,200123
13000,3.75046968460083,3.816140531301498,9.890860588370181e-05,425984000,5446.6,mla_current,123,100123,200123
13500,3.793703079223633,3.8122121596336367,8.406567057113034e-05,442368000,5654.7,mla_current,123,100123,200123
14000,3.6796082854270935,3.803038178284963,7.264923532945212e-05,458752000,5862.8,mla_current,123,100123,200123
14500,3.6840481758117676,3.795272748072942,6.481836057229788e-05,475136000,6070.8,mla_current,123,100123,200123
15000,3.679403245449066,3.7984792896111808,6.068215059988e-05,491520000,6278.9,mla_current,123,100123,200123
