iter,train_loss,val_loss,lr,tokens_seen,elapsed_s,attn_mode,seed
0,nan,10.908749910990396,0.0006,0,0.0,mha,123
500,6.134592890739441,6.158615981737773,0.0001497,16384000,224.2,mha,123
1000,5.397040843963623,5.3633284123738605,0.00029969999999999997,32768000,428.7,mha,123
1500,4.846680760383606,4.850532723267873,0.0004496999999999999,49152000,633.1,mha,123
2000,4.52532684803009,4.5926897366841635,0.0005996999999999999,65536000,837.6,mha,123
2500,4.402900815010071,4.425253303845723,0.0005981266088736952,81920000,1042.0,mha,123
3000,4.28053092956543,4.336495379606883,0.0005925175294683882,98304000,1246.5,mha,123
3500,4.207275986671448,4.258863693873088,0.0005832509032072879,114688000,1450.9,mha,123
4000,4.109588146209717,4.19400509039561,0.0005704558381153472,131072000,1655.3,mha,123
4500,4.107714653015137,4.155447476307551,0.0005543106024788456,147456000,1859.8,mha,123
5000,4.040835380554199,4.1269326357046765,0.000535040141107975,163840000,2064.3,mha,123
5500,4.072337210178375,4.089671508471171,0.0005129129412749549,180224000,2269.4,mha,123
6000,3.9728180170059204,4.058571312030156,0.00048823729199324884,196608000,2473.8,mha,123
6500,4.03412401676178,4.030864789485931,0.00046135698875578174,212992000,2678.3,mha,123
7000,3.8992913961410522,4.011256670554479,0.000432646543576239,229376000,2882.8,mha,123
7500,3.958311975002289,3.987486873467763,0.00040250596706994045,245760000,3087.2,mha,123
8000,3.969679057598114,3.9572807574272155,0.00037135519527336944,262144000,3291.8,mha,123
8500,3.8699917793273926,3.9446407798926035,0.00033962823885115036,278528000,3496.2,mha,123
9000,3.8561676144599915,3.92573402206103,0.00030776713620712216,294912000,3700.6,mha,123
9500,3.739862084388733,3.904902965227763,0.0002762157947482825,311296000,3905.1,mha,123
10000,3.772345721721649,3.884845632712046,0.00024541380610869324,327680000,4109.6,mha,123
10500,3.7992923855781555,3.877357302904129,0.00021579032150324256,344064000,4314.6,mha,123
11000,3.7632453441619873,3.857035234769185,0.0001877580725433998,360448000,4519.1,mha,123
11500,3.7395666241645813,3.84003555337588,0.00016170762082042857,376832000,4723.5,mha,123
12000,3.77153342962265,3.8328608886400857,0.0001380019163742152,393216000,4928.0,mha,123
12500,3.857955753803253,3.813221082687378,0.00011697124086228238,409600000,5132.4,mha,123
13000,3.6940812468528748,3.8103990948200224,9.890860588370181e-05,425984000,5336.9,mha,123
13500,3.7858455181121826,3.7937990681330365,8.406567057113034e-05,442368000,5541.3,mha,123
14000,3.8368433713912964,3.7841448724269866,7.264923532945212e-05,458752000,5745.8,mha,123
14500,3.746078073978424,3.7742354905605318,6.481836057229788e-05,475136000,5950.3,mha,123
15000,3.680369794368744,3.7813790289560956,6.068215059988e-05,491520000,6154.7,mha,123
