iter,train_loss,val_loss,lr,tokens_seen,elapsed_s,attn_mode,seed
0,nan,10.912049090067546,0.0006,0,0.0,mla_norope,123
500,6.225783348083496,6.235285673936208,0.0001497,16384000,230.1,mla_norope,123
1000,5.382281064987183,5.4290742882092795,0.00029969999999999997,32768000,440.0,mla_norope,123
1500,4.973423957824707,4.993758551279703,0.0004496999999999999,49152000,649.9,mla_norope,123
2000,4.627365350723267,4.683143095175425,0.0005996999999999999,65536000,859.7,mla_norope,123
2500,4.454370141029358,4.4906464211146035,0.0005981266088736952,81920000,1069.6,mla_norope,123
3000,4.372980117797852,4.377923432588577,0.0005925175294683882,98304000,1279.4,mla_norope,123
3500,4.322853922843933,4.297649257183075,0.0005832509032072879,114688000,1489.2,mla_norope,123
4000,4.2140562534332275,4.245790707667669,0.0005704558381153472,131072000,1699.1,mla_norope,123
4500,4.121885180473328,4.204460002581278,0.0005543106024788456,147456000,1908.9,mla_norope,123
5000,4.115898251533508,4.1697139771779375,0.000535040141107975,163840000,2118.8,mla_norope,123
5500,4.064004898071289,4.1389106194178265,0.0005129129412749549,180224000,2329.2,mla_norope,123
6000,4.086781978607178,4.09645280679067,0.00048823729199324884,196608000,2539.0,mla_norope,123
6500,3.944445013999939,4.080631104310354,0.00046135698875578174,212992000,2748.8,mla_norope,123
7000,4.005169451236725,4.0498263363043465,0.000432646543576239,229376000,2958.7,mla_norope,123
7500,4.001545608043671,4.023485598564148,0.00040250596706994045,245760000,3168.5,mla_norope,123
8000,3.821569800376892,4.003675020138423,0.00037135519527336944,262144000,3378.3,mla_norope,123
8500,3.937330961227417,3.987012739976247,0.00033962823885115036,278528000,3588.1,mla_norope,123
9000,3.881463944911957,3.9629158639907835,0.00030776713620712216,294912000,3797.9,mla_norope,123
9500,3.8403082489967346,3.949441423416138,0.0002762157947482825,311296000,4007.8,mla_norope,123
10000,3.8086050152778625,3.9319526815414427,0.00024541380610869324,327680000,4217.6,mla_norope,123
10500,3.8275449872016907,3.912748646736145,0.00021579032150324256,344064000,4428.0,mla_norope,123
11000,3.8713369965553284,3.888474681377411,0.0001877580725433998,360448000,4637.8,mla_norope,123
11500,3.859587252140045,3.878171851237615,0.00016170762082042857,376832000,4847.7,mla_norope,123
12000,3.82207989692688,3.862005623579025,0.0001380019163742152,393216000,5057.5,mla_norope,123
12500,3.7422346472740173,3.8531953581174214,0.00011697124086228238,409600000,5267.3,mla_norope,123
13000,3.655941963195801,3.835226761500041,9.890860588370181e-05,425984000,5477.1,mla_norope,123
13500,3.7579705119132996,3.831503364642461,8.406567057113034e-05,442368000,5686.9,mla_norope,123
14000,3.7506555914878845,3.8231531234582263,7.264923532945212e-05,458752000,5896.8,mla_norope,123
14500,3.799716889858246,3.8207038966814677,6.481836057229788e-05,475136000,6106.6,mla_norope,123
15000,3.7198699712753296,3.819221177895864,6.068215059988e-05,491520000,6316.4,mla_norope,123
