iter,train_loss,val_loss,lr,tokens_seen,elapsed_s,attn_mode,seed
0,nan,10.92870984395345,0.0006,0,0.0,mla,456
500,6.164876103401184,6.188566666444142,0.0001497,16384000,231.2,mla,456
1000,5.4133394956588745,5.400659181276957,0.00029969999999999997,32768000,442.4,mla,456
1500,5.011974096298218,4.945390144983928,0.0004496999999999999,49152000,653.7,mla,456
2000,4.624285101890564,4.644617828528086,0.0005996999999999999,65536000,864.9,mla,456
2500,4.472645401954651,4.445982196331024,0.0005981266088736952,81920000,1076.1,mla,456
3000,4.313831448554993,4.3561514361699425,0.0005925175294683882,98304000,1287.2,mla,456
3500,4.170528531074524,4.274356158971787,0.0005832509032072879,114688000,1498.4,mla,456
4000,4.227393627166748,4.215909036795298,0.0005704558381153472,131072000,1709.7,mla,456
4500,4.20390784740448,4.1723654715220135,0.0005543106024788456,147456000,1920.9,mla,456
5000,4.143012046813965,4.143747216065725,0.000535040141107975,163840000,2132.1,mla,456
5500,4.017346441745758,4.098978234132131,0.0005129129412749549,180224000,2343.8,mla,456
6000,4.08200991153717,4.079146555264791,0.00048823729199324884,196608000,2554.9,mla,456
6500,3.9676095843315125,4.048269962072372,0.00046135698875578174,212992000,2766.1,mla,456
7000,3.9867655634880066,4.018295981884003,0.000432646543576239,229376000,2977.4,mla,456
7500,3.903258800506592,3.9988499319553377,0.00040250596706994045,245760000,3188.6,mla,456
8000,3.978234589099884,3.97906551361084,0.00037135519527336944,262144000,3399.8,mla,456
8500,3.8672492504119873,3.9593592170874277,0.00033962823885115036,278528000,3611.0,mla,456
9000,3.831588387489319,3.935504765907923,0.00030776713620712216,294912000,3822.2,mla,456
9500,3.8769315481185913,3.9271219484011333,0.0002762157947482825,311296000,4033.4,mla,456
10000,3.8616446256637573,3.897185162305832,0.00024541380610869324,327680000,4244.6,mla,456
10500,3.775203227996826,3.8899601729710898,0.00021579032150324256,344064000,4456.4,mla,456
11000,3.8453838229179382,3.867191111644109,0.0001877580725433998,360448000,4667.5,mla,456
11500,3.838699221611023,3.86285906513532,0.00016170762082042857,376832000,4878.7,mla,456
12000,3.763474225997925,3.8422105975945793,0.0001380019163742152,393216000,5089.9,mla,456
12500,3.675399601459503,3.8328442561626432,0.00011697124086228238,409600000,5301.1,mla,456
13000,3.767828583717346,3.8242540291945137,9.890860588370181e-05,425984000,5512.3,mla,456
13500,3.7868606448173523,3.8182436271508533,8.406567057113034e-05,442368000,5723.6,mla,456
14000,3.7765215039253235,3.812350491285324,7.264923532945212e-05,458752000,5934.8,mla,456
14500,3.7119266390800476,3.782937251726786,6.481836057229788e-05,475136000,6145.9,mla,456
15000,3.739001214504242,3.7961484877268474,6.068215059988e-05,491520000,6357.1,mla,456
